"","Destination.City","Origin.City","Airline.Status","Age","Gender","Price.Sensitivity","Year.of.First.Flight","Flights.Per.Year","Loyalty","Type.of.Travel","Total.Freq.Flyer.Accts","Shopping.Amount.at.Airport","Eating.and.Drinking.at.Airport","Class","Day.of.Month","Flight.date","Partner.Code","Partner.Name","Origin.State","Destination.State","Scheduled.Departure.Hour","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","Flight.cancelled","Flight.time.in.minutes","Flight.Distance","Likelihood.to.recommend","olong","olat","dlong","dlat","freeText"
"9567","Sacramento, CA","Phoenix, AZ","Blue",23,"Female",2,2010,24,-0.92,"Mileage tickets",0,8,75,"Eco",10,"2/10/14","US","Southeast Airlines Co.","Arizona","California",8,0,0,"No",106,647,8,-111.97,33.4941,-121.3247,38.6386,NA
"9568","Akron, OH","Atlanta, GA","Blue",15,"Female",2,2009,16,-0.28,"Personal Travel",2,0,65,"Eco",27,"3/27/14","WN","Cheapseats Airlines Inc.","Georgia","Ohio",21,47,22,"No",74,528,4,-84.3319,33.8241,-81.4919,41.0662,NA
"9569","El Paso, TX","Phoenix, AZ","Blue",76,"Female",1,2005,19,-0.4615,"Personal Travel",0,0,45,"Eco",28,"2/28/14","WN","Cheapseats Airlines Inc.","Arizona","Texas",7,0,0,"No",47,347,7,-111.97,33.4941,-106.389,31.7802,NA
"9570","Las Vegas, NV","Los Angeles, CA","Silver",34,"Female",3,2011,16,-0.3913,"Business travel",2,0,120,"Eco",4,"1/4/14","WN","Cheapseats Airlines Inc.","California","Nevada",6,0,3,"No",49,236,9,-118.1043,33.9827,-115.1672,36.1349,NA
"9571","San Francisco, CA","Los Angeles, CA","Blue",16,"Male",1,2012,33,-0.7838,"Mileage tickets",3,90,45,"Eco",19,"1/19/14","WN","Cheapseats Airlines Inc.","California","California",14,2,0,"No",53,337,9,-118.1043,33.9827,-122.1585,37.6712,NA
"9572","Miami, FL","Philadelphia, PA","Blue",30,"Female",2,2009,34,-0.0968,"Personal Travel",1,55,45,"Eco",10,"3/10/14","US","Southeast Airlines Co.","Pennsylvania","Florida",17,14,5,"No",135,1013,7,-75.2984,39.9733,-80.2314,26.1756,NA
"9573","Seattle, WA","New York, NY","Blue",75,"Female",1,2004,25,-0.5152,"Mileage tickets",0,120,150,"Eco",13,"1/13/14","DL","Sigma Airlines Inc.","New York","Washington",7,0,0,"No",348,2422,9,-73.9702,40.7184,-122.2747,47.4684,NA
"9574","San Francisco, CA","Salt Lake City, UT","Silver",37,"Male",2,2003,10,0.4737,"Business travel",4,100,110,"Eco",12,"3/12/14","OO","Northwest Business Airlines Inc.","Utah","California",16,58,38,"No",88,599,8,-111.9295,40.6408,-122.1585,37.6712,NA
"9575","Los Angeles, CA","Phoenix, AZ","Blue",43,"Female",2,2004,31,-0.9375,"Business travel",1,0,60,"Eco",11,"3/11/14","OO","Northwest Business Airlines Inc.","Arizona","California",9,0,10,"No",64,370,7,-111.97,33.4941,-118.1043,33.9827,NA
"9576","New York, NY","Orlando, FL","Silver",67,"Female",2,2003,18,-0.3333,"Personal Travel",0,0,30,"Eco",12,"3/12/14","B6","OnlyJets Airlines Inc.","Florida","New York",7,0,0,"No",127,944,8,-81.4112,28.5844,-73.9702,40.7184,NA
"9577","Omaha, NE","Seattle, WA","Blue",80,"Female",1,2003,5,0.1667,"Personal Travel",0,0,120,"Eco Plus",16,"1/16/14","OO","Northwest Business Airlines Inc.","Washington","Nebraska",10,38,31,"No",161,1368,4,-122.2747,47.4684,-96.0346,41.2349,NA
"9578","St. Louis, MO","Atlanta, GA","Blue",26,"Female",1,2006,2,0.9024,"Business travel",1,0,30,"Eco",14,"2/14/14","FL","FlyHere Airways","Georgia","Missouri",21,0,33,"No",76,484,6,-84.3319,33.8241,-90.3409,38.6307,NA
"9579","Salt Lake City, UT","Kansas City, MO","Blue",80,"Female",1,2003,24,-0.8462,"Personal Travel",0,195,305,"Eco",11,"3/11/14","DL","Sigma Airlines Inc.","Missouri","Utah",5,0,1,"No",150,920,6,-94.5949,39.0398,-111.9295,40.6408,NA
"9580","Las Vegas, NV","Buffalo, NY","Blue",75,"Male",1,2003,15,-0.1538,"Personal Travel",1,100,90,"Eco",21,"3/21/14","WN","Cheapseats Airlines Inc.","New York","Nevada",8,0,0,"No",293,1986,5,-78.8237,42.9249,-115.1672,36.1349,NA
"9581","Charlotte, NC","Philadelphia, PA","Blue",48,"Male",1,2007,61,-0.9677,"Personal Travel",0,0,30,"Eco",10,"2/10/14","US","Southeast Airlines Co.","Pennsylvania","North Carolina",6,0,16,"No",82,449,8,-75.2984,39.9733,-80.8158,35.2497,NA
"9582","Chicago, IL","Seattle, WA","Blue",38,"Female",2,2006,36,-0.6744,"Personal Travel",1,0,0,"Eco",12,"2/12/14","AA","Paul Smith Airlines Inc.","Washington","Illinois",14,20,0,"No",192,1721,6,-122.2747,47.4684,-87.8954,41.8271,NA
"9583","Corpus Christi, TX","Houston, TX","Silver",46,"Female",1,2008,1,0.8182,"Business travel",3,25,35,"Eco",25,"2/25/14","EV","FlyFast Airways Inc.","Texas","Texas",8,0,0,"No",42,201,5,-95.3935,29.7843,-97.4126,27.7453,NA
"9584","Chicago, IL","Traverse City, MI","Gold",32,"Male",1,2003,0,1,"Business travel",0,0,210,"Eco",17,"3/17/14","EV","FlyFast Airways Inc.","Michigan","Illinois",15,0,0,"No",45,224,8,-85.624,44.731,-87.8954,41.8271,NA
"9585","Chicago, IL","Kansas City, MO","Blue",38,"Female",1,2007,14,0.0667,"Business travel",1,45,105,"Eco Plus",28,"3/28/14","MQ","EnjoyFlying Air Services","Missouri","Illinois",11,12,0,"No",63,403,10,-94.5949,39.0398,-87.8954,41.8271,NA
"9586","Minneapolis, MN","Aspen, CO","Blue",38,"Female",1,2003,41,-0.907,"Business travel",1,24,0,"Eco",25,"1/25/14","OO","Northwest Business Airlines Inc.","Colorado","Minnesota",15,6,0,"No",107,802,8,-106.8403,39.1993,-93.2798,44.9782,NA
"9587","Miami, FL","Charlotte, NC","Platinum",48,"Male",1,2012,32,-0.6,"Business travel",2,45,15,"Eco",26,"1/26/14","MQ","EnjoyFlying Air Services","North Carolina","Florida",16,0,0,"No",101,650,9,-80.8158,35.2497,-80.2314,26.1756,NA
"9588","Portland, ME","New York, NY","Blue",57,"Male",1,2006,14,-0.5556,"Personal Travel",0,405,120,"Eco",9,"2/9/14","B6","OnlyJets Airlines Inc.","New York","Maine",22,50,75,"No",47,273,3,-73.9702,40.7184,-70.3219,43.6637,NA
"9589","New Orleans, LA","New York, NY","Blue",73,"Female",1,2011,24,-0.6,"Mileage tickets",0,0,40,"Eco",9,"2/9/14","DL","Sigma Airlines Inc.","New York","Louisiana",8,0,0,"No",176,1183,8,-73.9702,40.7184,-90.1437,29.9547,NA
"9590","Boston, MA","Chicago, IL","Blue",68,"Female",1,2011,22,-0.5172,"Business travel",0,0,30,"Eco",9,"1/9/14","WN","Cheapseats Airlines Inc.","Illinois","Massachusetts",20,81,93,"No",101,861,7,-87.8954,41.8271,-71.1407,42.3731,NA
"9591","Atlanta, GA","Albany, NY","Blue",41,"Male",1,2008,16,-0.3333,"Business travel",3,0,110,"Eco",17,"2/17/14","DL","Sigma Airlines Inc.","New York","Georgia",6,0,0,"No",133,853,10,-73.7994,42.7439,-84.3319,33.8241,NA
"9592","Denver, CO","St. Louis, MO","Silver",56,"Male",1,2009,14,-0.1667,"Mileage tickets",1,15,120,"Eco",1,"1/1/14","WN","Cheapseats Airlines Inc.","Missouri","Colorado",13,7,6,"No",122,770,9,-90.3409,38.6307,-104.9551,39.7108,NA
"9593","Oklahoma City, OK","Washington, DC","Blue",79,"Male",0,2008,67,-0.8611,"Mileage tickets",0,0,60,"Eco",10,"3/10/14","OO","Northwest Business Airlines Inc.","Virginia","Oklahoma",17,0,0,"No",158,1136,9,-77.1897,38.8974,-97.5243,35.5048,NA
"9594","New York, NY","Miami, FL","Silver",47,"Female",0,2011,2,0.2,"Personal Travel",0,0,30,"Business",31,"1/31/14","AA","Paul Smith Airlines Inc.","Florida","New York",11,11,0,"No",132,1089,9,-80.2314,26.1756,-73.9702,40.7184,NA
"9595","Chicago, IL","Des Moines, IA","Blue",71,"Male",1,2008,37,-0.8049,"Personal Travel",0,0,60,"Eco",5,"2/5/14","WN","Cheapseats Airlines Inc.","Iowa","Illinois",7,32,56,"No",76,306,4,-93.6561,41.6194,-87.8954,41.8271,NA
"9596","Denver, CO","San Jose, CA","Gold",57,"Female",1,2007,23,-0.9167,"Business travel",0,0,105,"Eco",31,"1/31/14","OU","Oursin Airlines Inc.","California","Colorado",7,0,0,"No",119,948,8,-121.9451,37.3298,-104.9551,39.7108,NA
"9597","Chicago, IL","Houston, TX","Blue",18,"Female",2,2011,17,-0.7895,"Business travel",0,5,75,"Eco",4,"1/4/14","OU","Oursin Airlines Inc.","Texas","Illinois",6,0,0,"No",121,925,7,-95.3935,29.7843,-87.8954,41.8271,NA
"9598","Anchorage, AK","Bethel, AK","Silver",33,"Male",1,2007,31,-0.6757,"Business travel",1,120,50,"Eco",28,"2/28/14","AS","FlyToSun Airlines Inc.","Alaska","Alaska",8,0,0,"No",57,399,9,-161.7825,60.7949,-149.8472,61.1679,NA
"9599","San Jose, CA","Portland, OR","Blue",41,"Male",1,2006,19,-0.5833,"Business travel",0,0,45,"Eco",14,"1/14/14","WN","Cheapseats Airlines Inc.","Oregon","California",11,69,81,"No",87,569,9,-122.6511,45.5204,-121.9451,37.3298,NA
"9600","Washington, DC","Los Angeles, CA","Blue",74,"Male",1,2011,61,-0.7681,"Personal Travel",0,0,20,"Eco",26,"1/26/14","VX","Cool&Young Airlines Inc.","California","Virginia",21,0,0,"No",242,2288,4,-118.1043,33.9827,-77.1897,38.8974,NA
"9601","Houston, TX","New Orleans, LA","Blue",30,"Female",2,2008,22,-0.4194,"Personal Travel",2,60,100,"Eco",18,"3/18/14","WN","Cheapseats Airlines Inc.","Louisiana","Texas",6,3,3,"No",60,302,5,-90.1437,29.9547,-95.3935,29.7843,NA
"9602","Chicago, IL","Columbia, SC","Blue",19,"Female",2,2004,3,-0.5,"Personal Travel",4,0,60,"Business",15,"1/15/14","EV","FlyFast Airways Inc.","South Carolina","Illinois",18,4,25,"No",105,667,3,-81.0772,34.0362,-87.8954,41.8271,NA
"9603","Sacramento, CA","San Diego, CA","Blue",25,"Male",1,2006,30,-0.875,"Mileage tickets",0,2,20,"Eco",28,"2/28/14","WN","Cheapseats Airlines Inc.","California","California",11,13,0,"No",67,480,8,-117.1288,32.9287,-121.3247,38.6386,NA
"9604","Denver, CO","Phoenix, AZ","Silver",52,"Male",1,2004,17,-0.4783,"Business travel",0,104,20,"Eco",21,"1/21/14","WN","Cheapseats Airlines Inc.","Arizona","Colorado",12,0,0,"No",79,602,9,-111.97,33.4941,-104.9551,39.7108,NA
"9605","Dallas, TX","Little Rock, AR","Gold",35,"Female",1,2006,7,0.125,"Business travel",0,0,60,"Eco",10,"2/10/14","WN","Cheapseats Airlines Inc.","Arkansas","Texas",6,0,7,"No",55,296,10,-92.3212,34.7566,-96.972,32.8127,NA
"9606","Atlanta, GA","Milwaukee, WI","Blue",49,"Female",3,2005,33,-0.5349,"Personal Travel",0,0,15,"Eco",2,"1/2/14","FL","FlyHere Airways","Wisconsin","Georgia",16,NA,NA,"Yes",NA,669,3,-88.1005,43.0557,-84.3319,33.8241,NA
"9607","Detroit, MI","New York, NY","Blue",41,"Female",2,2006,8,0.5152,"Business travel",4,45,90,"Business",10,"1/10/14","MQ","EnjoyFlying Air Services","New York","Michigan",8,22,58,"No",89,502,10,-73.9702,40.7184,-83.2276,42.49,NA
"9608","Miami, FL","New York, NY","Silver",58,"Male",2,2007,8,-0.4545,"Business travel",0,0,90,"Business",31,"1/31/14","DL","Sigma Airlines Inc.","New York","Florida",11,0,0,"No",158,1096,9,-73.9702,40.7184,-80.2314,26.1756,NA
"9609","Las Vegas, NV","Tucson, AZ","Gold",60,"Female",1,2008,4,0.2727,"Business travel",0,0,40,"Eco",20,"2/20/14","WN","Cheapseats Airlines Inc.","Arizona","Nevada",11,0,0,"No",70,365,10,-110.9461,32.2549,-115.1672,36.1349,NA
"9610","Tampa, FL","Philadelphia, PA","Blue",29,"Female",1,2005,0,1,"Business travel",2,0,50,"Eco",5,"2/5/14","US","Southeast Airlines Co.","Pennsylvania","Florida",9,0,0,"No",154,920,7,-75.2984,39.9733,-82.5132,28.0062,NA
"9611","Minneapolis, MN","Denver, CO","Blue",49,"Male",1,2011,15,-0.5,"Business travel",2,0,100,"Eco",5,"2/5/14","WN","Cheapseats Airlines Inc.","Colorado","Minnesota",18,13,9,"No",88,680,10,-104.9551,39.7108,-93.2798,44.9782,NA
"9612","Reno, NV","San Diego, CA","Blue",71,"Female",1,2012,26,-0.8571,"Personal Travel",0,0,70,"Eco",19,"3/19/14","WN","Cheapseats Airlines Inc.","California","Nevada",6,1,0,"No",73,488,7,-117.1288,32.9287,-119.7959,39.5326,NA
"9613","Boston, MA","Philadelphia, PA","Blue",55,"Male",2,2012,30,0.1176,"Mileage tickets",1,10,15,"Eco",4,"3/4/14","US","Southeast Airlines Co.","Pennsylvania","Massachusetts",12,0,0,"No",45,280,8,-75.2984,39.9733,-71.1407,42.3731,NA
"9614","Orlando, FL","Philadelphia, PA","Silver",63,"Female",1,2011,46,-0.84,"Personal Travel",0,0,50,"Eco",21,"3/21/14","US","Southeast Airlines Co.","Pennsylvania","Florida",8,0,0,"No",118,861,9,-75.2984,39.9733,-81.4112,28.5844,NA
"9615","Atlanta, GA","San Antonio, TX","Silver",53,"Female",1,2009,20,-0.4286,"Business travel",0,185,30,"Eco",4,"2/4/14","DL","Sigma Airlines Inc.","Texas","Georgia",7,0,0,"No",102,874,5,-98.4754,29.5144,-84.3319,33.8241,NA
"9616","Houston, TX","Oklahoma City, OK","Blue",28,"Female",2,2008,29,-0.45,"Business travel",2,15,75,"Eco",10,"1/10/14","WN","Cheapseats Airlines Inc.","Oklahoma","Texas",12,1,2,"No",69,419,10,-97.5243,35.5048,-95.3935,29.7843,NA
"9617","Charlotte, NC","Washington, DC","Silver",50,"Female",2,2007,25,-0.7857,"Business travel",1,25,20,"Eco",18,"2/18/14","US","Southeast Airlines Co.","Virginia","North Carolina",20,0,0,"No",57,331,8,-77.1897,38.8974,-80.8158,35.2497,NA
"9618","New York, NY","Denver, CO","Blue",80,"Female",1,2012,52,-0.8909,"Personal Travel",0,0,45,"Eco",20,"3/20/14","WN","Cheapseats Airlines Inc.","Colorado","New York",10,60,55,"No",186,1620,4,-104.9551,39.7108,-73.9702,40.7184,NA
"9619","New York, NY","Detroit, MI","Gold",44,"Female",1,2008,4,0.4286,"Business travel",3,5,55,"Eco",10,"2/10/14","DL","Sigma Airlines Inc.","Michigan","New York",21,0,0,"No",75,502,9,-83.2276,42.49,-73.9702,40.7184,NA
"9620","Orlando, FL","New York, NY","Silver",41,"Male",1,2010,0,1,"Business travel",2,0,0,"Eco",20,"1/20/14","B6","OnlyJets Airlines Inc.","New York","Florida",9,15,10,"No",142,944,6,-73.9702,40.7184,-81.4112,28.5844,NA
"9621","Charlotte, NC","Detroit, MI","Silver",60,"Female",1,2009,42,-0.9535,"Business travel",0,0,75,"Business",28,"3/28/14","US","Southeast Airlines Co.","Michigan","North Carolina",8,0,0,"No",74,500,9,-83.2276,42.49,-80.8158,35.2497,NA
"9622","Chicago, IL","Washington, DC","Blue",59,"Male",1,2012,49,-0.7818,"Personal Travel",0,0,60,"Eco",21,"3/21/14","WN","Cheapseats Airlines Inc.","Virginia","Illinois",10,0,0,"No",99,577,4,-77.1897,38.8974,-87.8954,41.8271,NA
"9623","Atlanta, GA","Chicago, IL","Blue",49,"Female",1,2007,19,-0.7273,"Business travel",0,102,50,"Eco",11,"3/11/14","FL","FlyHere Airways","Illinois","Georgia",14,1,2,"No",92,591,9,-87.8954,41.8271,-84.3319,33.8241,NA
"9624","New York, NY","Boston, MA","Blue",41,"Female",2,2006,28,-0.3023,"Business travel",1,10,90,"Eco",12,"2/12/14","B6","OnlyJets Airlines Inc.","Massachusetts","New York",7,9,0,"No",45,187,10,-71.1407,42.3731,-73.9702,40.7184,NA
"9625","Minot, ND","Denver, CO","Blue",26,"Female",1,2011,15,0.6104,"Business travel",1,0,20,"Eco",29,"3/29/14","OO","Northwest Business Airlines Inc.","Colorado","North Dakota",19,0,0,"No",79,604,8,-104.9551,39.7108,-101.2876,48.2338,NA
"9626","Philadelphia, PA","Jacksonville, FL","Blue",37,"Male",1,2011,0,1,"Business travel",2,20,5,"Eco",12,"3/12/14","US","Southeast Airlines Co.","Florida","Pennsylvania",10,0,0,"No",97,742,8,-81.6427,30.2401,-75.2984,39.9733,NA
"9627","Los Angeles, CA","San Diego, CA","Blue",31,"Female",1,2012,10,0.5,"Business travel",2,25,90,"Business",9,"1/9/14","OO","Northwest Business Airlines Inc.","California","California",13,0,0,"No",28,109,8,-117.1288,32.9287,-118.1043,33.9827,NA
"9628","Austin, TX","Philadelphia, PA","Blue",68,"Female",1,2004,26,-0.5758,"Business travel",0,0,60,"Eco",28,"2/28/14","US","Southeast Airlines Co.","Pennsylvania","Texas",17,0,0,"No",203,1430,8,-75.2984,39.9733,-97.7615,30.3585,NA
"9629","Miami, FL","Chicago, IL","Blue",47,"Female",1,2006,34,-0.4468,"Business travel",1,60,0,"Eco",28,"2/28/14","AA","Paul Smith Airlines Inc.","Illinois","Florida",17,1,0,"No",143,1197,8,-87.8954,41.8271,-80.2314,26.1756,NA
"9630","Dallas, TX","Houston, TX","Blue",31,"Male",1,2004,10,0.5833,"Business travel",2,0,120,"Eco",26,"3/26/14","WN","Cheapseats Airlines Inc.","Texas","Texas",20,18,13,"No",41,239,8,-95.3935,29.7843,-96.972,32.8127,NA
"9631","San Juan, PR","Orlando, FL","Blue",72,"Female",1,2005,29,-0.7576,"Personal Travel",0,60,105,"Eco",4,"1/4/14","B6","OnlyJets Airlines Inc.","Florida","Puerto Rico",7,0,1,"No",140,1189,8,-81.4112,28.5844,-66.1162,18.2882,NA
"9632","Denver, CO","Reno, NV","Platinum",51,"Female",1,2012,18,-0.3333,"Business travel",2,0,30,"Eco",10,"3/10/14","WN","Cheapseats Airlines Inc.","Nevada","Colorado",6,0,0,"No",98,804,10,-119.7959,39.5326,-104.9551,39.7108,NA
"9633","San Diego, CA","Los Angeles, CA","Silver",31,"Female",1,2007,4,0.5789,"Personal Travel",2,295,150,"Eco Plus",18,"1/18/14","OO","Northwest Business Airlines Inc.","California","California",15,2,9,"No",32,109,7,-118.1043,33.9827,-117.1288,32.9287,NA
"9634","Chicago, IL","Cleveland, OH","Blue",66,"Male",1,2003,30,-0.6216,"Personal Travel",0,50,60,"Business",5,"2/5/14","MQ","EnjoyFlying Air Services","Ohio","Illinois",8,4,72,"No",69,315,4,-81.6054,41.4436,-87.8954,41.8271,NA
"9635","Pittsburgh, PA","Orlando, FL","Blue",58,"Male",1,2009,10,-0.1111,"Business travel",0,5,75,"Eco",22,"3/22/14","FL","FlyHere Airways","Florida","Pennsylvania",15,3,2,"No",114,834,10,-81.4112,28.5844,-79.951,40.457,NA
"9636","Phoenix, AZ","Los Angeles, CA","Blue",36,"Female",2,2010,29,-0.7059,"Personal Travel",0,65,60,"Eco Plus",17,"2/17/14","US","Southeast Airlines Co.","California","Arizona",12,3,6,"No",59,370,7,-118.1043,33.9827,-111.97,33.4941,NA
"9637","Portland, OR","Chicago, IL","Blue",50,"Male",1,2004,45,-0.6981,"Business travel",0,0,60,"Eco",7,"1/7/14","AA","Paul Smith Airlines Inc.","Illinois","Oregon",10,57,70,"No",258,1739,3,-87.8954,41.8271,-122.6511,45.5204,NA
"9638","Tampa, FL","Las Vegas, NV","Blue",33,"Female",1,2010,24,-0.7778,"Mileage tickets",0,90,15,"Eco",22,"3/22/14","WN","Cheapseats Airlines Inc.","Nevada","Florida",10,11,0,"No",207,1984,6,-115.1672,36.1349,-82.5132,28.0062,NA
"9639","Seattle, WA","Denver, CO","Silver",37,"Female",1,2007,12,0.4,"Business travel",2,0,30,"Business",24,"1/24/14","OU","Oursin Airlines Inc.","Colorado","Washington",11,1,0,"No",136,1024,9,-104.9551,39.7108,-122.2747,47.4684,NA
"9640","Kansas City, MO","Phoenix, AZ","Blue",42,"Male",2,2009,3,0.4,"Business travel",1,0,50,"Eco",2,"3/2/14","WN","Cheapseats Airlines Inc.","Arizona","Missouri",8,0,0,"No",125,1044,9,-111.97,33.4941,-94.5949,39.0398,NA
"9641","Buffalo, NY","Orlando, FL","Blue",54,"Female",1,2009,8,0.4286,"Personal Travel",4,10,10,"Business",15,"1/15/14","WN","Cheapseats Airlines Inc.","Florida","New York",14,14,0,"No",117,1011,6,-81.4112,28.5844,-78.8237,42.9249,NA
"9642","Atlanta, GA","Valdosta, GA","Blue",59,"Female",1,2011,40,-0.9048,"Business travel",0,180,60,"Eco",14,"3/14/14","EV","FlyFast Airways Inc.","Georgia","Georgia",11,90,119,"No",46,208,8,-83.2957,30.8759,-84.3319,33.8241,NA
"9643","Chicago, IL","Tampa, FL","Blue",17,"Male",2,2004,19,-0.6522,"Personal Travel",1,0,30,"Eco",24,"1/24/14","AA","Paul Smith Airlines Inc.","Florida","Illinois",16,NA,NA,"Yes",NA,1012,4,-82.5132,28.0062,-87.8954,41.8271,NA
"9644","Boston, MA","Chicago, IL","Silver",35,"Female",1,2008,16,0.2727,"Personal Travel",2,30,60,"Eco",1,"1/1/14","OU","Oursin Airlines Inc.","Illinois","Massachusetts",10,157,142,"No",98,867,8,-87.8954,41.8271,-71.1407,42.3731,NA
"9645","San Diego, CA","Sacramento, CA","Blue",60,"Female",1,2005,25,-0.7857,"Business travel",0,0,60,"Eco",20,"2/20/14","WN","Cheapseats Airlines Inc.","California","California",19,22,15,"No",69,480,7,-121.3247,38.6386,-117.1288,32.9287,NA
"9646","Miami, FL","New York, NY","Blue",76,"Female",1,2003,29,-0.8125,"Personal Travel",0,60,15,"Eco",2,"3/2/14","AA","Paul Smith Airlines Inc.","New York","Florida",13,0,0,"No",148,1096,4,-73.9702,40.7184,-80.2314,26.1756,NA
"9647","Atlanta, GA","Fayetteville, NC","Silver",40,"Female",1,2003,0,1,"Business travel",2,100,78,"Eco",25,"3/25/14","EV","FlyFast Airways Inc.","North Carolina","Georgia",17,36,18,"No",60,331,7,-78.9768,35.0526,-84.3319,33.8241,NA
"9648","Las Vegas, NV","Chicago, IL","Blue",54,"Male",1,2007,23,-0.6429,"Business travel",0,0,20,"Business",26,"3/26/14","AA","Paul Smith Airlines Inc.","Illinois","Nevada",9,1,0,"No",213,1514,10,-87.8954,41.8271,-115.1672,36.1349,NA
"9649","Houston, TX","Atlanta, GA","Silver",32,"Female",1,2004,8,0.0588,"Business travel",3,8,20,"Eco Plus",24,"2/24/14","EV","FlyFast Airways Inc.","Georgia","Texas",6,0,1,"No",114,689,6,-84.3319,33.8241,-95.3935,29.7843,NA
"9650","Chicago, IL","Waterloo, IA","Blue",43,"Male",1,2009,10,0,"Personal Travel",0,0,100,"Eco",22,"2/22/14","MQ","EnjoyFlying Air Services","Iowa","Illinois",6,724,705,"No",38,234,5,-92.3842,42.4959,-87.8954,41.8271,NA
"9651","Chicago, IL","Denver, CO","Blue",28,"Female",0,2007,26,0.1746,"Business travel",1,8,10,"Business",13,"1/13/14","OU","Oursin Airlines Inc.","Colorado","Illinois",13,0,0,"No",113,888,8,-104.9551,39.7108,-87.8954,41.8271,NA
"9652","Sacramento, CA","San Diego, CA","Blue",34,"Male",1,2004,13,-0.1818,"Business travel",2,18,35,"Eco",18,"2/18/14","WN","Cheapseats Airlines Inc.","California","California",15,0,0,"No",77,480,9,-117.1288,32.9287,-121.3247,38.6386,NA
"9653","Omaha, NE","Chicago, IL","Blue",80,"Female",1,2012,16,-0.5238,"Personal Travel",0,55,140,"Eco",7,"2/7/14","EV","FlyFast Airways Inc.","Illinois","Nebraska",10,13,5,"No",70,416,2,-87.8954,41.8271,-96.0346,41.2349,NA
"9654","Charlotte, NC","Pittsburgh, PA","Blue",80,"Female",1,2012,29,-0.6111,"Personal Travel",0,0,15,"Eco",6,"2/6/14","US","Southeast Airlines Co.","Pennsylvania","North Carolina",15,0,18,"No",77,366,4,-79.951,40.457,-80.8158,35.2497,NA
"9655","Houston, TX","Kansas City, MO","Blue",41,"Female",2,2003,3,0.5,"Business travel",1,30,75,"Eco",16,"1/16/14","EV","FlyFast Airways Inc.","Missouri","Texas",6,0,0,"No",102,643,7,-94.5949,39.0398,-95.3935,29.7843,NA
"9656","Salt Lake City, UT","San Francisco, CA","Blue",61,"Female",2,2005,18,-0.8947,"Personal Travel",0,250,10,"Eco",21,"3/21/14","DL","Sigma Airlines Inc.","California","Utah",13,0,0,"No",81,599,6,-122.1585,37.6712,-111.9295,40.6408,NA
"9657","San Jose, CA","Seattle, WA","Gold",46,"Male",1,2008,5,0.5,"Business travel",2,25,35,"Eco",9,"2/9/14","WN","Cheapseats Airlines Inc.","Washington","California",7,9,7,"No",110,697,4,-122.2747,47.4684,-121.9451,37.3298,NA
"9658","Knoxville, TN","Denver, CO","Silver",51,"Female",1,2007,29,-0.3488,"Business travel",1,85,60,"Eco",12,"2/12/14","EV","FlyFast Airways Inc.","Colorado","Tennessee",17,4,17,"No",148,1162,5,-104.9551,39.7108,-84.0244,35.9168,NA
"9659","New York, NY","Atlanta, GA","Blue",24,"Male",1,2008,8,0.36,"Business travel",1,0,75,"Eco",22,"1/22/14","DL","Sigma Airlines Inc.","Georgia","New York",21,0,0,"No",96,760,9,-84.3319,33.8241,-73.9702,40.7184,NA
"9660","Chicago, IL","Las Vegas, NV","Blue",37,"Male",1,2005,14,-0.3333,"Personal Travel",0,0,90,"Eco",12,"2/12/14","WN","Cheapseats Airlines Inc.","Nevada","Illinois",18,73,51,"No",174,1521,4,-115.1672,36.1349,-87.8954,41.8271,NA
"9661","Kahului, HI","Lihue, HI","Blue",35,"Female",0,2010,29,-0.45,"Business travel",3,0,110,"Eco",19,"3/19/14","HA","West Airways Inc.","Hawaii","Hawaii",12,0,0,"No",33,201,10,-159.3617,21.9758,-156.4779,20.8864,NA
"9662","Atlanta, GA","Washington, DC","Blue",15,"Male",1,2011,35,-0.5556,"Personal Travel",2,0,65,"Business",25,"3/25/14","DL","Sigma Airlines Inc.","Virginia","Georgia",12,35,49,"No",87,547,4,-77.1897,38.8974,-84.3319,33.8241,NA
"9663","Hartford, CT","Atlanta, GA","Gold",40,"Male",1,2003,15,0.3182,"Mileage tickets",3,0,90,"Eco",12,"3/12/14","FL","FlyHere Airways","Georgia","Connecticut",15,22,33,"No",97,859,7,-84.3319,33.8241,-72.6988,41.7401,NA
"9664","Washington, DC","New York, NY","Blue",18,"Male",2,2009,3,0.4545,"Mileage tickets",1,0,60,"Eco",9,"2/9/14","US","Southeast Airlines Co.","New York","Virginia",20,0,15,"No",55,214,7,-73.9702,40.7184,-77.1897,38.8974,NA
"9665","Akron, OH","Atlanta, GA","Blue",61,"Female",2,2012,21,-0.4483,"Business travel",0,90,30,"Eco",11,"3/11/14","DL","Sigma Airlines Inc.","Georgia","Ohio",8,0,0,"No",73,528,9,-84.3319,33.8241,-81.4919,41.0662,NA
"9666","Atlanta, GA","Asheville, NC","Gold",70,"Female",1,2009,20,-0.4286,"Personal Travel",0,0,50,"Eco",27,"3/27/14","EV","FlyFast Airways Inc.","North Carolina","Georgia",10,79,78,"No",34,164,2,-82.6642,35.5371,-84.3319,33.8241,NA
